Date,Open,High,Low,Close,Volume,Adj Close
2016-10-25,117.949997,118.360001,117.309998,118.25,39190300,118.25
2016-10-24,117.099998,117.739998,117.00,117.650002,23538700,117.650002
2016-10-21,116.809998,116.910004,116.279999,116.599998,23192700,116.599998
2016-10-20,116.860001,117.379997,116.330002,117.059998,24125800,117.059998
2016-10-19,117.25,117.760002,113.800003,117.120003,20034600,117.120003
2016-10-18,118.18,118.209999,117.449997,117.470001,24553500,117.470001
2016-10-17,117.330002,117.839996,116.779999,117.550003,23624900,117.550003
2016-10-14,117.879997,118.169998,117.129997,117.629997,35652200,117.629997
2016-10-13,116.790001,117.440002,115.720001,116.980003,35192400,116.980003
2016-10-12,117.349998,117.980003,116.75,117.339996,37586800,117.339996
2016-10-11,117.699997,118.690002,116.199997,116.300003,64041000,116.300003
2016-10-10,115.019997,116.75,114.720001,116.050003,36236000,116.050003
2016-10-07,114.309998,114.559998,113.510002,114.059998,24358400,114.059998
2016-10-06,113.699997,114.339996,113.129997,113.889999,28779300,113.889999
2016-10-05,113.400002,113.660004,112.690002,113.050003,21453100,113.050003
2016-10-04,113.059998,114.309998,112.629997,113.00,29736800,113.00
2016-10-03,112.709999,113.050003,112.279999,112.519997,21701800,112.519997
2016-09-30,112.459999,113.370003,111.800003,113.050003,36379100,113.050003
2016-09-29,113.160004,113.800003,111.800003,112.18,35887000,112.18
2016-09-28,113.690002,114.639999,113.43,113.949997,29641100,113.949997
2016-09-27,113.00,113.18,112.339996,113.089996,24607400,113.089996
2016-09-26,111.639999,113.389999,111.550003,112.879997,29869400,112.879997
2016-09-23,114.419998,114.790001,111.550003,112.709999,52481200,112.709999
2016-09-22,114.349998,114.940002,114.00,114.620003,31074000,114.620003
2016-09-21,113.849998,113.989998,112.440002,113.550003,36003200,113.550003
2016-09-20,113.050003,114.120003,112.510002,113.57,34514300,113.57
2016-09-19,115.190002,116.18,113.25,113.580002,47023000,113.580002
2016-09-16,115.120003,116.129997,114.040001,114.919998,79886900,114.919998
2016-09-15,113.860001,115.730003,113.489998,115.57,89983600,115.57
2016-09-14,108.730003,113.029999,108.599998,111.769997,110888700,111.769997
2016-09-13,107.510002,108.790001,107.239998,107.949997,62176200,107.949997
2016-09-12,102.650002,105.720001,102.529999,105.440002,45292800,105.440002
2016-09-09,104.639999,105.720001,103.129997,103.129997,46557000,103.129997
2016-09-08,107.25,107.269997,105.239998,105.519997,53002000,105.519997
2016-09-07,107.830002,108.760002,107.07,108.360001,42364300,108.360001
2016-09-06,107.900002,108.300003,107.510002,107.699997,26880400,107.699997
